Id,Title,Author,Description,Rating,ISBN,ISBN13,Publish,URL
50337,Nota Bene: A Guide to Familiar Latin Quotes and Phrases,Robin Langley Sommer,"Proving the eternal usefulness of the world's liveliest ""dead"" language, this little book is filled Latin phrases everyone knows (alter ego, bona fide, status quo); expressions from Roman literature (a word to the wise, seize the day); unusual word derivations (sullen, from solus: alone); scholarly abbreviations; Latin words adopted directly into English (censor, forum, cohort); more. An educational, informative, entertaining, and eye-opening look at a fascinating language.",3.50,0760700796,9780760700792,December 15th 1995 by Barnes& Noble Books (first published November 1995),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266459656l/50337.jpg
50340,The Perfect Manhattan,Leanne Shear,"Meet Cassie Ellis—a young college graduate with the world on a string, a yen for screenwriting, and a need for fast cash to pay off her student loans. Eager to avoid the lucrative snooze-fest of a reliable consulting job, she shocks everyone she knows by opting for a sexier, more flexible job: mixing drinks. Never mind that she doesn’t know single-malt whiskey from Jack Daniel’s: she’s eager to learn. And under the tutelage of a sexy Soho bar owner, she’s soon cranking out three-olive martinis with the city’s glitterati fifteen-deep at the bar—all while angling for tips, fielding bad pick-up lines, and trying to keep up with the other bartenders who party as hard as their stylish clientele.When Cassie accepts a summer gig bartending in the Hamptons, New York’s most elite summer destination, she finds herself catapulted into a whirlwind of dazzling celebrity and over-the-top wealth unlike anything she’s ever seen. Life behind the velvet rope is hard to resist, especially when she finds herself falling for a Hamptons hottie named James. But as the summer progresses, and she finds herself surrounded by playboys, moguls, spoiled rich kids, and Paris Hilton clones in strappy stilettos, she soon wonders if playing the ersatz socialite—while actually trying to make a living—is more than she bargained for.Drawn from the authors’ own experiences as bartenders in the thick of New York’s party scene, The Perfect Manhattan is a perfect mix of sparkling social satire, romance, comedy, and scandal that provides a fast-paced, enormously entertaining look inside the life on the chichi side of the tracks.",3.62,0767918509,9780767918503,May 23rd 2006 by Broadway Books (first published 2005),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388524860l/50340.jpg
50341,Turbocharge Your GMAT Math Solutions Guide,Joern Meissner,"Designed for GMAT test-takers at different levels, this book includes: step-by-step detailed and comprehensive solutions for easy following; graphic illustrations for clear explanations and quick understanding; multiple approaches to solving one problem, highlighting the importance of sound strategies; and, quick answer keys as a fast reference.",3.50,0978843517,9780978843519,August 1st 2006 by Manhattan Review,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388346025l/50341.jpg
50342,"The Foundation: Basic Mental, Emotional And Physical Considerations In Escort Work",Amanda   Brooks,"The definitive book on safe, sane, successful escort work. Common newbie questions are addressed as well as tips for working escorts on defining your image, maximizing income and personal safety. Also an illuminating read for those curious about escort work.",4.22,0978094409,9780978094409,"October 16th 2006 by Golden Girl Press, LLC",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170368350l/50342._SX318_.jpg
50343,The Flying Book: Everything You've Ever Wondered About Flying On Airplanes,David Blatner,"Whether you fear, thrill at, or, like many, have never bothered to stop and think about the wonder of commercial flight, The Flying Book will inform, surprise, reassure, and entertain. David Blatner takes readers from the cockpit to the runway, the control tower, the baggage and security systems, the airplane manufacturing plant, and beyond, explaining the many factors that make airline travel possible. There are stops along the way to examine airplane maintenance, pilot training, the effects of weather, safety statistics, tips for staying healthy, oddball aviation inventions such as the air car, and what aerodynamicists have learned from birds and bugs.With a brief history of aviation just to put it all in perspective, as well as minibiographies of some of history's great aviators, The Flying Book is a treasure trove of fascinating aviation facts. A delight for travelers-business, pleasure, or armchair-or any readers who like to indulge their sense of curiosity, The Flying Book captures the spirit, illuminates the science, and reveals the magic of flight.",3.92,0802776914,9780802776914,October 1st 2005 by Walker Books (first published January 1st 2003),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316635559l/50343.jpg
50344,The Guinness Book Of Air Force Blunders,Geoffrey Regan, ,3.75,0851126073,9780851126074,1996 by Guinness Publishing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170368420l/50344._SX318_.jpg
50345,"An Official Red Book: A Guide Book of Flying Eagle and Indian Head Cents: Complete Source for History, Grading, and Prices",Richard Snow,This book provides complete history and price guide on Indian and Flying Eagle Cents. This is a great edtion to the Official RedBook Price Guide Series. Author Richard Snow,4.00,0794817831,9780794817831,October 1st 2005 by Whitman Publishing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348750679l/50345.jpg
50346,Five Little Men in a Flying Saucer,Dan Crisp,"When five little men come to visit Earth from Outer Space, they don't like what they see. Finding a planet that is spoiled and neglected, the little men fly away, one by one. Luckily, by the end of this much-loved counting song, the world becomes a better place to visit - and the five little men may even have had something to do with it! All children love this traditional rhyme and singing along will help to develop number skills. Bouncy illustrations, innovative die cutting and popular rhymes make Books with Holes a must for every child. Available in three formats, suitable for babies, toddlers, pre-schoolers and the nursery or classroom.",3.17,1904550584,9781904550587,August 1st 2005 by Child's Play International (first published 2005),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413757364l/50346.jpg
50347,"Ultralights: The Complete Book of Flying, Training, and Safety",Friderick Goss Carrier, ,0.00,0385192908,9780385192903,May 1st 1985 by Doubleday Books (first published 1985),https://s.gr-assets.com/assets/nophoto/book/blank-133x176-8b769f39ba6687a82d2eef30bdf46977.jpg
50348,A Hunger for Healing Workbook,J. Keith Miller,"A practical, exercise-filled companion to A Hunger for Healing that puts into practice the Christian principles of healing and growthFor many thousands of people, the Twelve Steps have become the spiritual discipline for a new decade, a way to turn to God and begin a pilgrimage toward wholeness as well as a journey out of addiction. Relating each of the Steps to biblical teaching, J. Keith Miller takes the reader inside the Steps, actually working through each one.Each section of A Hunger for Healing Workbook begins with one of the Twelve Steps, followed by a biblical quote that touches upon the theme, a suggested reading in A Hunger for Healing, and a concise explanation of the Step and how it relates to spiritual growth. Built on solid biblical principles, the exercises and inventories provided will promote introspection, reflection, and action -- a clear pathway out of compulsion and pain into a world of serenity and healthy interaction with God and others.Step by Step, this life-transforming program helps readers toAcknowledge their need for God's healing power Surrender to God's care Let God remove character defects Reconcile themselves with God and others Use prayer to enrich the life of the spirit Heal broken lives and relationships",4.60,0060657219,9780060657215,June 19th 1992 by HarperOne,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388181739l/50348.jpg
50349,Hope in the Fast Lane: A New Look at Faith in a Compulsive World,Keith J. Miller,"Miller demonstrates how sin can affect every aspect of Christian life, including Bible study, prayer, and worship. How shows how to face up to the true, sinful nature of self-centered behavior and return to the God-centered state essential to serenity and peace.",4.33,0060657200,9780060657208,May 1st 1990 by HarperCollins Publishers (first published 1990),https://s.gr-assets.com/assets/nophoto/book/blank-133x176-8b769f39ba6687a82d2eef30bdf46977.jpg
50350,What to Do with the Rest of Your Life: Awakening and Achieving Your Unspoken Dreams,J. Keith Miller,"In a fast paced and suspenseful narrative, the author takes his readers on a journey into the hearts and heads of his characters, who are struggling to discern what to do with the rest of their lives. (Catholic)",3.00,0824523202,9780824523206,June 1st 2005 by Crossroad Publishing Company (first published January 1st 1955),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170368442l/50350._SY475_.jpg
50353,Surrender to the Spirit: The Limitless Possibilities of Yielding to the Holy Spirit,Keith Miller,"The sevenfold expressions of the Holy Spirit (Isaiah 11:2, Revelation 4:5) unfolds the deep and mysterious secrets of the kingdom and empowers you to do the extraordinary so that Jesus will receive",4.09,0768423872,9780768423877,November 1st 2006 by Destiny Image Incorporated,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352964794l/50353.jpg
50354,Principles of Everyday Behavior Analysis (with Printed Access Card),L. Keith Miller,"PRINCIPLES OF EVERYDAY BEHAVIOR ANALYSIS uses generalization programming to show you how to apply behavioral concepts to complex everyday situations. The author introduces, defines, and illustrates each behavior modification concept and then immediately includes vignettes that show you how to apply concepts to the real world.",4.00,053459994X,9780534599942,July 5th 2005 by Cengage Learning (first published 1975),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385300486l/50354.jpg
50355,The Secret Life of the Soul,J. Keith Miller,"From the author of the international best-seller The Taste of New Wine comes a book that examines the soul from theological, spiritual, and psychological viewpoints.",3.81,0805463755,9780805463750,September 1st 1997 by B&H Publishing Group,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1223648569l/50355.jpg
50356,The single experience,Keith Miller, ,3.00,084990286X,9780849902864,October 1st 1981 by Word Books (first published 1981),https://s.gr-assets.com/assets/nophoto/book/blank-133x176-8b769f39ba6687a82d2eef30bdf46977.jpg
50357,Perspectives on an Evolving Creation,Keith B. Miller,"According to the authors of this book, who explore evolutionary theory from a clear Christian perspective, the common view of conflict between evolutionary theory and Christian faith is mistaken. Written by contributors representing the natural sciences, philosophy, theology, and the history of science, this thought-provoking work is informed by both solid scientific knowledge and keen theological insight. The three sections of the book address (1) relevant biblical, historical, and scientific background, (2) the scientific evidence for an evolving creation, and (3) theological issues commonly raised in connection with evolution, including the nature of God's creative activity, the meaning of the miraculous, and the uniqueness of humankind. Woven through the volume are short meditations designed to direct readers toward worshiping the God of providence.Contributors: Laurie J. Braaten Warren S. Brown Jr. David Campbell Robin Collins Edward B. Davis Terry M. Gray Jeffrey K. Greenberg Deborah B. Haarsma Loren Haarsma James P. Hurd Conrad Hyers David N. Livingstone Keith B. Miller John C. Munday Jr. George L. Murphy Mark A. Noll Robert John Russell Howard J. Van Till David L. Wilcox Jennifer Wiseman",3.76,0802805124,9780802805126,September 25th 2003 by Eerdmans (first published 2003),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388213429l/50357.jpg
50358,Orlando,Virginia Woolf,This edition adopts as its copy-text the surviving proofs marked and revised by Woolf for the novel's American publication.,3.86,0631177280,9780631177289,January 15th 1991 by Wiley-Blackwell (first published October 11th 1928),https://s.gr-assets.com/assets/nophoto/book/blank-133x176-8b769f39ba6687a82d2eef30bdf46977.jpg
50359,Rituals Of Blood: The Consequences Of Slavery In Two American Centuries,Orlando Patterson,"In the first essay, Patterson analyzes the very latest survey data to delineate the different attitudes, behaviors, and circumstances of Afro-American men and women, dissecting both the external and internal causes for the great disparities he finds.In the second essay, Patterson focuses on the lynching of Afro-American boys and men during the decades after Reconstruction, particularly on the substantial number of cases that constituted apparent ritual human sacrifice. As no one has done before, Patterson reveals how the complex interplay between Christian sacrificial symbolism and the deep recesses of post-bellum Southern culture resulted in some of the most shameful, barbaric events in American history.The third essay brings us into the late twentieth century, with an investigation of the various images of Afro-American men portrayed by the media. From the demigod (Michael Jordan) to the demon (Colin Ferguson) to the demigod-turned-demon (O. J. Simpson) and the crossers of racial and gender boundaries (Michael Jackson and Dennis Rodman)—all contribute to the cultural complications of our contemporary society.Rituals of Blood advances Patterson's new model of ethnic relations that opens American society to a new and freer dialogue.",3.61,158243039X,9781582430393,December 10th 1999 by Civitas Books (first published 1998),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347332946l/50359.jpg
50360,The Other Orlando: What to Do When You've Done Disney & Universal,Kelly Monaghan,"Orlando, the top U.S. travel destination, draws over 43 million visitors a year. After they visit the mega-parks, many are looking for other things to see and do. Monaghan lays out the options with wit and charm, covering virtually every area attraction. In-depth reviews let readers pick and choose wisely to suit their tastes, preferences, and pocketbooks.",3.40,1887140662,9781887140669,November 29th 2006 by Intrepid Traveler (first published May 26th 1998),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347387595l/50360.jpg
50361,Top 10 Orlando,Richard Grula,"A better value than all the competition, these pocket travel guides offer travelers the insight of local experts to easily plan the perfect trip. Take the work out of planning any trip with DK's Eyewitness Top 10 Travel Guides. Branded with DK's trusted and familiar ""Eyewitness"" style, these compact guides make finding the best every destination has to offer easier than ever before! Perfect for business travel and vacation, searching for the finest cuisine or the least expensive places to eat, the most luxurious hotels or the best deals on places to stay, the best family destination or the hottest nightspot, Eyewitness Top 10 Travel Guides provide current, useful information based on the insight of local experts to find the best of everything that each destination has to offer.",3.68,0789484358,9780789484352,June 21st 2002 by DK Eyewitness Travel (first published 2002),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309295296l/50361.jpg
50362,"Doré's Illustrations for Ariosto's ""Orlando Furioso"": A Selection of 208 Illustrations",Gustave Doré,"Gustave Doré (1832–1883) was the greatest illustrator of 19th-century France and the leading book illustrator of his day. His startling conceptions and brooding surreal imagery lent overwhelming power to his often definitive illustrations of the classics: The Divine Comedy, Gargantua, and Pantagruel, The Rime of the Ancient Mariner, and the Bible, among others. In 1879, having produced over 90 illustrated books, he published the last major work of his illustrious career: 618 illustrations for Ludovico Ariosto's magnificent epic poem, Orlando Furioso. Little known today, the work contains some of Doré's finest illustrations.Ariosto's poem combines medieval legends of King Arthur and Charlemagne in a long, complex narrative involving scores of characters, numerous interweaving subplots, and many interpolated tales. The conflict of Christian versus Moor provides the epic background of the work.The present volume contains 208 of Doré's finest illustrations for the poem, painstakingly reproduced from a beautifully printed 19th-century German edition. Included are all 81 full-page plates, the large frontispiece, many other illustrations that fill an entire Dover page, and a generous sampling of smaller, chiefly zinc-engraved plates. The latter consist of many lively and felicitous drawings reproduced directly from Doré's originals without the intermediate service of his team of wood engravers.Ariosto's extended saga provided an almost endless succession of characters, creatures, and events upon which Doré lavished the skill and experience of a lifetime. The illustrations range from brilliant quick sketches to highly finished and shaded studies, many of which convey and incomparable feeling of metaphysical gloom. Desolate landscapes, ghostly castles, and titanic battles furnish darkly romantic settings in which tiny human figures often appear overwhelmed — helpless pawns of destiny. Against this stark backdrop, a panorama of jousting knights, damsels in distress, heroic deeds, romantic interludes, and mystical events comes to life under Doré's exuberant pen style. His haunting interpretations, suffused with a shadowy mysticism, seem the perfect visual expression of Ariosto's monumental historico mythological tableau.For this edition, Stanley Appelbaum has selected illustrations and provided captions describing the scene depicted, with appropriate canto and stanza numbers. He has also provided an informative introduction and plot summary. Anyone interested in the special artistic magic that results from the fusion of great art and great literature will want to add this inexpensive reprint of one of Doré's finest achievements to their bookshelves.",4.51,048623973X,9780486239736,April 1st 1980 by Dover Publications,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379899537l/50362.jpg
50364,The Golden Gate,Vikram Seth,"""The great California novel been written, in verse (and why not?): The Golden Gate gives great joy.""--Gore VidalOne of the most highly regarded novels of 1986, Vikram Seth's story in verse made him a literary household name in both the United States and India.John Brown, a successful yuppie living in 1980s San Francisco meets a romantic interest in Liz, after placing a personal ad in the newspaper. From this interaction, John meets a variety of characters, each with their own values and ideas of ""self-actualization."" However, Liz begins to fall in love with John's best friend, and John realizes his journey of self-discovery has only just begun.""A splendid achievement, equally convincing in its exhilaration and its sadness.""--The New York Times""Seth pulls off his feat with spirit, grace and great energy.""--The New Yorker ""A marvelous work . . . bold and splendid . . . Locate this book and allow yourself to become caught up, like a kite, in the lifting effects of Seth's sonnets.""--Washington Post Book World",4.00,0670058602,9780670058600,2005 by Viking (first published 1986),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1425497330l/50364.jpg
50365,A Suitable Boy,Vikram Seth,"Vikram Seth's novel is, at its core, a love story: Lata and her mother, Mrs. Rupa Mehra, are both trying to find—through love or through exacting maternal appraisal—a suitable boy for Lata to marry. Set in the early 1950s, in an India newly independent and struggling through a time of crisis, A Suitable Boy takes us into the richly imagined world of four large extended families and spins a compulsively readable tale of their lives and loves. A sweeping panoramic portrait of a complex, multiethnic society in flux, A Suitable Boy remains the story of ordinary people caught up in a web of love and ambition, humor and sadness, prejudice and reconciliation, the most delicate social etiquette and the most appalling violence.",4.12,0060786523,9780060786526,October 4th 2005 by Harper Perennial Modern Classics (first published May 1st 1993),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329421639l/50365.jpg
50366,An Equal Music,Vikram Seth,"The author of the international bestseller A Suitable Boy returns with a powerful and deeply romantic tale of two gifted musicians. Michael Holme is a violinist, a member of the successful Maggiore Quartet. He has long been haunted, though, by memories of the pianist he loved and left ten years earlier, Julia McNicholl. Now Julia, married and the mother of a small child, unexpectedly reenters his life and the romance flares up once more. Against the magical backdrop of Venice and Vienna, the two lovers confront the truth about themselves and their love, about the music that both unites and divides them, and about a devastating secret that Julia must finally reveal. With poetic, evocative writing and a brilliant portrait of the international music scene, An Equal Music confirms Vikram Seth as one of the world's finest and most enticing writers.",3.79,037570924X,9780375709241,May 2nd 2000 by Vintage (first published 1999),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403192766l/50366.jpg
50367,From Heaven Lake: Travels Through Sinkiang and Tibet,Vikram Seth,"After two years as a postgraduate student at Nanjing University in China, Vikram Seth hitch-hiked back to his home in New Delhi, via Tibet.  From Heaven Lake is the story of his remarkable journey and his encounters with nomadic Muslims, Chinese officials, Buddhists and others.",4.03,039475218X,9780394752181,November 1987 by Vintage Books (first published 1983),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403165881l/50367.jpg
50370,Eine gute Partie,Vikram Seth,"Savita heiratet Pran, einen jungen Mann, den sie kaum kennt. Die prunkvolle Zeremonie ist noch nicht beendet, da widmet die Mutter der Braut sich schon ihrer nächsten Aufgabe: eine gute Partie für ihre jüngste Tochter zu finden. Denn die schöne Lata wird schon neunzehn, aber der passende Mann muss natürlich der richtigen Kaste entstammen, und hellhäutig soll er auch noch sein. In dieser einfachen Konstellation findet Vikram Seth alles, um uns Indien, seine Tänze und Tränen, vor Augen zu stellen, seine Farben und Stoffe, sein Glück und sein Leid.",4.12,3453165152,9783453165151,December 1999 by Heyne (first published May 1st 1993),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170368735l/50370.jpg
50373,The Oxford Illustrated Jane Austen: Volume VI: Minor Works,Jane Austen,"This collection of all Jane Austen's Minor Works printed from her manuscripts, includes three volumes of high-spirited early efforts (written at about fifteen); Lady Susan; the fragments The Watsons (thought to have been a sketch for Emma) and Sanditon, written in the last year of her life; and a number of impromptu comic verses, and three prayers.",3.92,,,"November 17th 1988 by Oxford University Press, USA (first published 1892)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405195682l/50373.jpg
50376,Jane Austen: A Life,Claire Tomalin,"At her death in 1817, Jane Austen left the world six of the most beloved novels written in English—but her shortsighted family destroyed the bulk of her letters; and if she kept any diaries, they did not survive her.  Now acclaimed biographer Claire Tomalin has filled the gaps in the record, creating a remarkably fresh and convincing portrait of the woman and the writer. While most Austen biographers have accepted the assertion of Jane's brother Henry that ""My dear Sister's life was not a life of events,"" Tomalin shows that, on the contrary, Austen's brief life was fraught with upheaval.  Tomalin provides detailed and absorbing accounts of Austen's ill-fated love for a young Irishman, her frequent travels and extended visits to London, her close friendship with a worldly cousin whose French husband met his death on the guillotine, her brothers' naval service in the Napoleonic wars and in the colonies, and thus shatters the myth of Jane Austen as a sheltered and homebound spinster whose knowledge of the world was limited to the view from a Hampshire village. ",3.84,0679766766,9780679766766,April 27th 1999 by Vintage (first published 1997),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403167249l/50376.jpg
50379,Jane Austen's Town & Country Style,Susan Watkins,"The world of novelist Jane Austen was a place of unsurpassed elegance, beauty, and refinement. This book documents Jane Austen's world: Stoneleigh Abbey, quaint country retreats and stylish town houses. A Buyer's Directory, for those who want to recreate this era in their own homes is included.",4.27,0847812324,9780847812325,August 15th 1993 by Rizzoli,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387715642l/50379.jpg
50382,Presenting Miss Jane Austen,May Lamberton Becker,"This outstanding biography of a well-beloved novelist catches the spirit of Jane Austen herself. May Lamberton Becker enjoyably introduces us to the 18th and early 19th century world Miss Austen lived in--her family, her friends, her varied settings and her many keen interests--as we are given insight to the personal background of all the Austen novels. Enlivening her narrative with many quotations from Jane Austen's own correspondence, Miss becker puts her own enthusiastic appreciation of one of the world's most delightful writers at our disposal.",3.73,1932350071,9781932350074,May 30th 2006 by Ignatius Press (first published May 1st 2006),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347236293l/50382.jpg
50385,Cooking with Jane Austen,Kirstin Olsen,"One of the greatest writers of all time, Jane Austen drew upon her domestic culture to color her works. Included in this book are more than 200 recipes for the many, many meals she alludes to throughout her writings. Recipes appear in modernized form, along with quotations from Austen's writings and excerpts from cookbooks of her era. Sure to entertain her numerous fans, the volume provides readers with recipes for such dishes as fried beef steaks, broiled mutton chops, roast pork loin, buttered crab or lobster, Stilton cheese, syrup of mulberries, almond pudding, French bread, mushroom ketchup, and many others.The book begins with some introductory chapters on cooking and eating in Austen's world. It then presents chapters on broad categories of food, such as beef and veal, seafood, pastries and sweets, and beverages. Each chapter includes extracts from Austen's works and from cookbooks of her period, accompanied by easy-to-follow modernized recipes. The volume closes with some sample menus; glossaries of ingredients, sources, and special tools; and a bibliography of period cookbooks and modern studies.",4.13,0313334633,9780313334634,August 1st 2005 by Greenwood,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348224842l/50385.jpg
50386,Tales of Beatnik Glory,Ed Sanders,"Ed Sanders's mock-heroic (and heroic) odyssey follows poet, filmmaker, and activist Sam Thomas, editor of Dope, Fucking, and Social Change, and a variegated cast of castoffs, dropouts, peaceniks, freakniks, and mendicant filthniks, from Kansas through the beatnik and hippie countercultures of New York City's Lower East Side and Greenwich Village. From the Freedom Rides and confrontations with the Alabama Klan to the ""hate-dappled"" Summer of Love, Tales of Beatnik Glory is the epic of America in the sixties, in a language of droll invention and stoned mythopoesis, from a man who once dared to exorcise the Pentagon. This revised edition adds two new volumes and includes twenty-five never-before-published stories",4.08,1560256524,9781560256526,December 28th 2004 by Da Capo Press (first published November 30th 1974),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170368833l/50386._SY475_.jpg
50387,Memoirs Of A Beatnik,Diane di Prima,"From one of the Beat movement's most accomplished writer's comes a witty, sexy autobiography and feminist epic poem. Long regarded as an underground classic for its gritty and unabashedly erotic portrayal of the Beat years, MEMOIRS OF A BEATNIK is a moving account of a powerful woman artist in a movement dominated by a small confederacy of men, many of whom she lived with and loved.",3.71,0714530751,9780714530758,March 24th 2002 by Marion Boyars Publishers (first published 1969),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347406459l/50387.jpg
50388,"Selected Poems, 1947–1995",Allen Ginsberg,"Assembled by Allen Ginsberg, Selected Poems 1947-1995 is the definitive collection of the best works of one of the most influential and revolutionary poets of the twentieth century.Allen Ginsberg, famous for helping catalyze the Beat Generation, wrote poetry for more than fifty years. His innovative verse and provocative attitudes of spiritual, political, and sexual liberation inspired countless poets, musicians, and visual and performance artists worldwide, and helped shape several generations' views of the world.Selected Poems 1947-1995 commemorates Ginsberg's brilliant career as one of America's most distinguished poets. Here are well-known masterpieces such as the lyric ""Howl"" and the narrative ""Kaddish"" -- classic works of American literature -- as well as more recent gems, including the long dream poem ""White Shroud,"" the visionary ""After Lalon,"" and the political rock lyric ""The Ballad of the Skeletons,"" a song he recorded in 1996 with a stellar band that included Philip Glass, Lenny Kaye, and Paul McCartney.",4.14,0060933763,9780060933760,April 3rd 2001 by Harper Perennial Modern Classics (first published 1996),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410136775l/50388.jpg
50389,Beatnik Rutabagas from Beyond the Stars,Quentin Dodd,"A hilarious sci-fi comedy. Walter Nutria, bored with high school in East Weston, is only too happy to enter the spaceship that descends from the sky one afternoon. Once inside, he learns he has been specifically sought out by the Lirgonians, a race of aliens who look like middle-aged men in footie pajamas, to act as their commander in their long-enduring feud with the Wotwots, who look like rutabagas with goatees and tentacles. Why Walter? Because of his meritorious sci-fi video rental record. But the Wotwots had the same idea and have recruited his friend Yselle Meridien, who has lately been renting on Walter's card, as their commander. Once the battle begins, things go absolutely haywire, and the two enemy races find themselves having to team up in search of their spaceships when they're stolen by the elusive Space Mice from Galaxy Four. The jokes come fast and furious in this clever novel, which will have appeal for both devotees of the science-fiction genre and those with only a casual interest in distant planets and giant talking thumbs. ",3.50,0374305153,9780374305154,December 2nd 2005 by Farrar Straus Giroux (first published September 8th 2001),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312006863l/50389.jpg
50390,Beatniks,Toby Litt,"1995, and at a party in Bedford, Mary meets Jack and Neal, a pair of hipsters and self-confessed Beats' stuck (un)squarely in the sixties. After a Beat (not-quite) Happening' at the local library, the three of them (and Neal's cat Koko) set off in Mary's Vauxhall on a road trip to Brighton in search of literary fame and fortune.",3.24,0141017937,9780141017938,October 7th 2004 by Not Avail (first published 1997),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408923471l/50390.jpg
50391,Allen Ginsberg in America,Jane Kramer,"Rare, intimate glimpses of the master poet at the height of his charisma and infamy.",3.96,0880641894,9780880641890,August 1st 1997 by Fromm International (first published 1970),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170368836l/50391.jpg
50392,"Bowling, Beatniks, and Bell-Bottoms: Pop Culture of 20th-Century America Edition 1.",Tom Pendergast,"The hairstyles, slang terms, advertising jingles, pop music sensations, and all else described as popular culture is covered in this 5-vol. reference. Arranged chronologically by decade and by broad topics within each decade, ""Bowling, Beatniks, and Bell-Bottoms"" focuses solely on the popular culture of the century -- hairstyles, slang terms, television shows, pop music sensations, etc. -- offering more detailed information on trends and fads than any other resource. Written specifically for students in grades 5 through 12, major topics include: products and brands, toys and games, music and dance, holidays, shopping, sports, movements and much more. Also includes approximately 400 photos, a cumulative table of contents, timeline, subject and cumulative general index and trivia sidebars.",3.43,0787656755,9780787656751,July 19th 2002 by U·X·L,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348580948l/50392.jpg
50393,"Bums, Beatniks and Hippies, Artists and Con Artists (Ernie Bushmiller's Nancy Series)",Ernie Bushmiller, ,4.67,0878161139,9780878161133,September 1st 1990 by Kitchen Sink Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381265806l/50393.jpg
50394,King of the Beatniks,Arthur Winfield Knight,"Based on the lives of Jack Kerouac, Neal Cassady and Gregory Corso. An award-winning play first performed in 1985.",0.00,0934953279,9780934953276,August 1st 1986 by Water Row Books,https://s.gr-assets.com/assets/nophoto/book/blank-133x176-8b769f39ba6687a82d2eef30bdf46977.jpg
50396,"Northanger Abbey, Lady Susan, The Watsons, Sanditon",Jane Austen,"Northanger Abbey depicts the misadventures of Catherine Morland, young, ingenuous, and mettlesome, and an indefatigable reader of gothic novels. Their romantic excess and dark overstatement feed her imagination, as tyrannical fathers and diabolical villains work their evil on forlorn heroines in isolated settings. What could be more remote from the uneventful securities of life in the midland counties of England? Yet as Austen brilliantly contrasts fiction with reality, ordinary life takes a more sinister turn, and edginess and circumspection are reaffirmed alongside comedy and literary burlesque. Also including Austen's other short fictions, Lady Susan, The Watsons, and Sanditon, this valuable new edition shows her to be as innovative at the start of her career as at its close.",3.96,0192840827,9780192840820,October 30th 2003 by Oxford University Press (first published 1818),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374684713l/50396.jpg
50397,Northanger Abbey,Jane Austen,"Catherine Morland should know better. She's the very ideal of a nice, normal girl. But Catherine is cursed with an overactive imagination. She is also obsessed with lurid Gothic novels, where terrible things happen to the heroine. Which gets her into all sorts of trouble... When Catherine visits Bath and meets funny, sharp Henry Tilney, she's instantly taken with him. But when she is invited to the Tilneys' home, the sinister Northanger Abbey, fantasy starts to get in the way of reality. Will she learn to separate out the two?",3.84,0755331443,9780755331444,May 15th 2006 by Headline Review (first published December 1817),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1319721062l/50397.jpg
